@Relation titanic
@ATTRIBUTE name string
@ATTRIBUTE classification {Anarchist,Anti-Globalization,Communist/Socialist,Environmental,Leftist,Nationalist/Separatist,Racist,Religious,Right-Wing_Conservative,Right-Wing_Reactionary,n/a,Other}
@ATTRIBUTE continent {Africa,Australia-Oceania,Central_America_and_Caribbean,Central_Asia,East_&_Southeast_Asia,Europe,Middle_East,North_America,South_America,South_Asia}
@ATTRIBUTE victimType {Abortion_Related,Airports_&_Airlines,Business,Educational_Institution,Food_or_Water_Supply,Government_(Diplomatic),Government_(General),Journalists_&_Media,Maritime,Military,NGO,Other,Police,Private_Citizens_&_Property,Religious_Figures/Institutions,Telecommunication,Terrorists,Tourists,Transportation,Unknown,Utilities,Violent_Political_Party}
@ATTRIBUTE attackType {Armed_Assault,Assassination,Bombing/Explosion,Facility/Infrastructure_Attack,Hijacking,Hostage_Taking_(Barricade_Incident),Hostage_Taking_(Kidnapping),Unarmed_Assault,Unknown}
@DATA
23rd_of_September_Communist_League,Communist/Socialist,North_America,Government_(Diplomatic),Hostage_Taking_(Kidnapping)
New_Peoples_Army_(NPA),Communist/Socialist,East_&_Southeast_Asia,Military,Unknown
Popular_Front_for_the_Liberation_of_Palestine_(PFLP),Nationalist/Separatist,Middle_East,Government_(Diplomatic),Bombing/Explosion
Japanese_Red_Army_(JRA),Communist/Socialist,East_&_Southeast_Asia,Airports_&_Airlines,Hijacking
New_Peoples_Army_(NPA),Communist/Socialist,East_&_Southeast_Asia,Military,Unknown
Popular_Front_for_the_Liberation_of_Palestine_(PFLP),Nationalist/Separatist,Middle_East,Government_(Diplomatic),Bombing/Explosion
Kabataang_Makabayan_(KM),Communist/Socialist,East_&_Southeast_Asia,Government_(Diplomatic),Bombing/Explosion
Popular_Front_for_the_Liberation_of_Palestine_(PFLP),Nationalist/Separatist,Middle_East,Government_(Diplomatic),Hostage_Taking_(Kidnapping)
Popular_Front_for_the_Liberation_of_Palestine_(PFLP),Nationalist/Separatist,Middle_East,Airports_&_Airlines,Bombing/Explosion
Popular_Front_for_the_Liberation_of_Palestine_(PFLP),Nationalist/Separatist,Middle_East,Business,Hostage_Taking_(Barricade_Incident)
Popular_Front_for_the_Liberation_of_Palestine_(PFLP),Nationalist/Separatist,Middle_East,Business,Hostage_Taking_(Barricade_Incident)
Popular_Front_for_the_Liberation_of_Palestine_(PFLP),Nationalist/Separatist,Middle_East,Military,Assassination
Popular_Front_for_the_Liberation_of_Palestine_(PFLP),Nationalist/Separatist,Europe,Airports_&_Airlines,Hijacking
Popular_Front_for_the_Liberation_of_Palestine_(PFLP),Nationalist/Separatist,Europe,Airports_&_Airlines,Hijacking
Popular_Front_for_the_Liberation_of_Palestine_(PFLP),Nationalist/Separatist,Middle_East,Airports_&_Airlines,Hijacking
Palestine_Liberation_Organization_(PLO),Nationalist/Separatist,Middle_East,Government_(Diplomatic),Hostage_Taking_(Kidnapping)
Basque_Fatherland_and_Freedom_(ETA),Nationalist/Separatist,Europe,Government_(Diplomatic),Hostage_Taking_(Kidnapping)
New_Peoples_Army_(NPA),Communist/Socialist,East_&_Southeast_Asia,Military,Bombing/Explosion
Popular_Front_for_the_Liberation_of_Palestine_(PFLP),Nationalist/Separatist,Europe,Utilities,Bombing/Explosion
Popular_Front_for_the_Liberation_of_Palestine_(PFLP),Nationalist/Separatist,Middle_East,Utilities,Bombing/Explosion
Basque_Fatherland_and_Freedom_(ETA),Nationalist/Separatist,Europe,Government_(Diplomatic),Hostage_Taking_(Kidnapping)
Basque_Fatherland_and_Freedom_(ETA),Nationalist/Separatist,Europe,Government_(Diplomatic),Hostage_Taking_(Kidnapping)
Black_September,Nationalist/Separatist,Europe,Airports_&_Airlines,Bombing/Explosion
Popular_Front_for_the_Liberation_of_Palestine_(PFLP),Nationalist/Separatist,Europe,Airports_&_Airlines,Hijacking
Black_September,Nationalist/Separatist,Middle_East,Business,Bombing/Explosion
Black_September,Nationalist/Separatist,Middle_East,Business,Bombing/Explosion
al-Fatah,Nationalist/Separatist,Middle_East,Airports_&_Airlines,Hijacking
Black_September,Nationalist/Separatist,Middle_East,Business,Bombing/Explosion
Black_September,Nationalist/Separatist,Africa,Government_(General),Assassination
Basque_Fatherland_and_Freedom_(ETA),Nationalist/Separatist,Europe,Government_(General),Bombing/Explosion
Basque_Fatherland_and_Freedom_(ETA),Nationalist/Separatist,Europe,Business,Facility/Infrastructure_Attack
Black_September,Nationalist/Separatist,Europe,Government_(Diplomatic),Assassination
Popular_Front_for_the_Liberation_of_Palestine_(PFLP),Nationalist/Separatist,Middle_East,Business,Bombing/Explosion
Basque_Fatherland_and_Freedom_(ETA),Nationalist/Separatist,Europe,Business,Hostage_Taking_(Kidnapping)
Irish_Republican_Army_(IRA),Nationalist/Separatist,Europe,Government_(Diplomatic),Facility/Infrastructure_Attack
Black_September,Nationalist/Separatist,Europe,Utilities,Bombing/Explosion
Jordanian_National_Liberation_Movement,Other,Africa,Airports_&_Airlines,Hijacking
Basque_Fatherland_and_Freedom_(ETA),Nationalist/Separatist,Europe,Business,Armed_Assault
Basque_Fatherland_and_Freedom_(ETA),Nationalist/Separatist,Europe,Business,Assassination
Black_September,Nationalist/Separatist,Europe,Airports_&_Airlines,Hijacking
Japanese_Red_Army_(JRA),Communist/Socialist,Middle_East,Airports_&_Airlines,Bombing/Explosion
